"epoch","_value"
115910,6.09
115910,5.03
115910,3.77
115910,3.32
115910,2.94
115910,5.72
115910,4.14
115910,6.81
115910,4.20
115910,2.78
115910,4.97
115910,5.93
115910,4.11
115910,5.86
115910,4.54
115910,6.36
115910,12.5
115910,5.96
115910,9.46
115911,1.61
115911,4.38
115911,2.76
115911,4.11
115911,1.23
115911,5.62
115911,1.59
115911,7.38
115911,3.05
115911,8.97
115911,3.89
115911,4.91
115911,5.78
115911,4.23
115911,6.79
115911,1.60
115911,5.07
115911,3.33
115911,1.71
115911,9.61
115911,1.81
115911,86.3
115911,4.70
115911,1.97
115911,4.36
115911,3.46
115911,2.93
115911,4.23
115911,2.17
115911,5.73
115911,3.08
115911,5.48
115911,5.02
115911,2.74
115911,6.60
115911,2.70
115911,4.11
115911,3.84
115911,2.24
115911,4.81
115911,5.46
115911,5.98
115911,3.40
115911,6.45
115911,5.04
115911,3.34
115911,3.65
115911,3.04
115911,4.80
115911,6.18
115911,3.93
115911,8.61
115911,3.00
115911,1.03
115911,4.97
115911,4.70
115911,4.47
115911,2.60
115911,2.97
115911,6.46
115911,4.97
115911,7.26
115911,4.31
115911,7.37
115911,8.95
115911,8.20
115911,11.8
115911,16.7
115911,4.36
115911,7.49
115911,5.68
115911,9.21
115911,4.31
115911,2.79
115911,6.10
115911,7.26
115911,1.94
115911,0.853
115911,6.00
115911,3.90
115911,8.20
115911,5.06
115911,37.6
115911,4.10
115911,4.31
115911,6.35
115911,4.90
115911,5.46
115911,4.38
115911,4.99
115911,3.74
115911,3.15
115911,7.34
115911,3.26
115911,2.94
115911,7.42
115911,10.6
115911,7.33
115911,7.39
115911,6.03
115911,12.1
115911,13.5
115911,7.69
115911,12.3
115911,21.4
115911,9.75
115911,3.88
115911,6.15
115911,10.0
115911,5.91
115911,6.88
115911,10.0
115911,3.63
115911,8.46
115911,5.71
115911,7.23
115911,3.88
115911,4.85
115911,10.2
115911,7.79
115911,4.67
115911,4.10
115911,8.19
115911,5.89
115911,1.63
115911,5.49
115911,5.00
115911,1.64
115911,5.83
115911,3.94
115911,7.48
115911,5.75
115911,4.90
115911,6.03
115911,4.08
115911,80.8
115911,8.83
115911,5.65
115911,6.61
115911,7.30
115911,3.38
115911,5.45
115911,4.80
115911,12.2
115911,4.65
115911,3.90
115911,5.84
115911,9.57
115911,7.31
115911,6.39
115911,4.18
115911,4.91
115911,3.50
115911,9.53
115911,5.50
115911,10.1
115911,19.0
115911,3.60
115911,8.80
115911,3.12
115911,5.36
115911,6.92
115911,6.64
115911,9.53
115911,1.94
115911,2.13
115911,6.20
115911,3.58
115911,5.07
115911,3.41
115911,9.91
115911,4.63
115911,4.17
115911,5.65
115911,3.74
115911,3.70
115911,7.47
115911,5.72
115911,9.83
115911,4.09
115912,4.71
115912,8.39
115912,6.43
115912,2.20
115912,4.12
115912,8.40
115912,8.03
115912,6.03
115912,3.69
115912,8.68
115912,3.16
115912,4.73
115912,6.38
115912,3.64
115912,8.45
115912,5.75
115912,0.774
115912,9.21
115912,3.74
115912,7.28
115912,28.6
115912,9.37
115912,3.97
115912,5.66
115912,2.90
115912,4.38
115912,7.18
115912,4.46
115912,3.35
115912,5.09
115912,6.66
115912,3.62
115912,6.20
115912,6.29
115912,3.65
115912,4.86
115912,5.95
115912,7.55
115912,8.10
115912,10.0
115912,5.42
115912,6.47
115912,7.13
115912,4.19
115912,8.19
115912,6.48
115912,4.47
115912,10.1
115912,6.65
115912,2.88
115912,8.34
115912,7.66
115912,7.33
115912,5.27
115912,6.47
115912,5.11
115912,5.23
115912,6.34
115912,9.01
115912,8.75
115912,7.01
115912,4.52
115912,3.01
115912,3.06
115912,5.50
115912,5.71
115912,6.91
115912,3.55
115912,6.34
115912,4.79
115912,6.89
115912,7.40
115912,8.18
115912,6.06
115912,14.2
115912,1.30
115912,3.09
115912,9.49
115912,9.41
115912,5.48
115912,9.01
115912,7.37
115912,16.6
115912,4.36
115912,13.4
115912,10.6
115912,6.51
115912,8.71
115912,14.8
115912,6.87
115912,2.26
115912,6.42
115912,7.12
115912,5.03
115912,9.39
115912,6.76
115912,7.88
115912,7.69
115912,4.22
115912,6.45
115912,11.1
115912,5.46
115912,7.16
115912,3.34
115912,3.29
115912,14.7
115912,9.10
115912,14.8
115912,1.91
115912,13.9
115912,4.38
115912,9.37
115912,7.09
115912,19.9
115912,3.42
115912,5.98
115912,1.67
115912,4.70
115912,18.7
115912,14.8
115912,9.27
115912,13.9
115912,6.13
115912,18.8
115912,13.4
115912,4.89
115912,5.20
115912,1.93
115912,6.29
115912,12.1
115912,6.97
115912,7.70
115912,2.73
115912,6.08
115912,9.17
115912,9.24
115912,4.60
115912,6.45
115912,5.06
115912,5.74
115912,4.00
115912,4.33
115912,6.25
115912,6.02
115912,19.9
115912,4.02
115912,5.90
115912,4.83
115912,3.88
115912,7.82
115912,4.87
115912,6.78
115912,2.86
115912,4.19
115912,4.60
115912,3.42
115912,19.4
